#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
PWY-3841	"Folate-Transformations;"	"folate transformations II;"	1.5.1.20+1.5.1.3+1.5.1.5+2.1.1.13+2.1.1.45+2.1.2.1+3.5.4.9+6.3.2.12+6.3.3.2+6.3.4.3	10	10	29	0.16
BGALACT-PWY	"LACTOSE-DEG;"	"lactose degradation III;"	3.2.1.23	1	1	3	0.02
PWY-6501	"D-Glucuronate-Degradation;"	"D-glucuronate degradation II;"	1.1.1.-	1	1	12	0.07
PWY-6573	"Glycan-Degradation; Glycosaminoglycan-Degradation;"	"chondroitin sulfate degradation (metazoa);"	3.2.1.52	4	1	2	0.01
PWY-6383	"Polyprenyl-Biosynthesis;"	"mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis;"	2.5.1.-+3.6.1.-+5.3.3.2	5	3	12	0.07
2AMINOBENZDEG-PWY	"2-Aminobenzoate-Degradation;"	"anthranilate degradation III (anaerobic);"	6.2.1.32	1	1	1	0.01
CODH-PWY	"Autotrophic-CO2-Fixation;"	"reductive acetyl coenzyme A pathway I (homoacetogenic bacteria);"	1.5.1.5+2.1.1.-+3.5.4.9+6.3.4.3	6	4	33	0.18
PWY-6285	"Fatty-acid-biosynthesis; Super-Pathways;"	"superpathway of fatty acids biosynthesis (<i>E. coli</i>);"	1.1.1.100+1.3.1.9+2.3.1.179+2.3.1.180+2.3.1.39+2.3.1.41+4.2.1.59+6.4.1.2	15	8	18	0.10
PWY-5876	"ISOQUINOLINE-ALKALOIDS;"	"magnoflorine biosynthesis;"	2.1.1.-	2	1	26	0.14
DTDPRHAMSYN-PWY	"dTDP-Sugar-Biosynthesis;"	"dTDP-L-rhamnose biosynthesis;"	1.1.1.133+4.2.1.46+5.1.3.13	4	3	7	0.04
PWYQT-4472	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from trihomomethionine;"	1.14.13.-+2.6.1.-	4	2	8	0.04
PWY4FS-8	"PhosphatidylglycerolBiosynthesis; Super-Pathways;"	"phosphatidylglycerol biosynthesis II (non-plastidic);"	1.1.1.94+2.7.7.41+2.7.8.5+3.1.3.27	6	4	8	0.04
PWY-5973	"Unsaturated-Fatty-Acids-Biosynthesis;"	"<i>cis</i>-vaccenate biosynthesis;"	1.1.1.100+2.3.1.179	4	2	5	0.03
PLPSAL-PWY	"Vitamin-B6-Biosynthesis;"	"pyridoxal 5'-phosphate salvage I;"	2.7.1.-+2.7.1.35	3	2	11	0.06
GLUTSYN-PWY	"GLUTAMATE-SYN;"	"L-glutamate biosynthesis I;"	1.4.1.13	1	1	13	0.07
PWY-6154	"Autoinducer-Biosynthesis;"	"autoinducer AI-2 biosynthesis II (<i>Vibrio</i>);"	2.1.1.-+3.2.2.9	3	2	29	0.16
PWY-6579	"Guanine-Guanosine-Salvage; Super-Pathways;"	"superpathway of guanine and guanosine salvage;"	2.4.2.1+2.4.2.8	3	2	3	0.02
PWY-4821	"Super-Pathways; UDP-Sugar-Biosynthesis;"	"UDP-&alpha;-D-xylose biosynthesis;"	1.1.1.22	2	1	2	0.01
PWY-3461	"TYROSINE-SYN;"	"L-tyrosine biosynthesis II;"	1.3.1.-+5.4.99.5	3	2	16	0.09
PWY-881	"Trehalose-biosynthesis;"	"trehalose biosynthesis II;"	2.4.1.-	2	1	12	0.07
PWY-1722	"C1-COMPOUNDS;"	"formate assimilation into 5,10-methylenetetrahydrofolate;"	1.5.1.5+3.5.4.9+6.3.4.3	3	3	7	0.04
PWY-5750	"Itaconate-Biosynthesis;"	"itaconate biosynthesis I;"	2.3.3.1+4.2.1.3+6.4.1.1	4	3	11	0.06
PWY-5188	"Tetrapyrrole-Biosynthesis;"	"tetrapyrrole biosynthesis I (from glutamate);"	1.2.1.70+2.5.1.61+4.2.1.24+5.4.3.8+6.1.1.17	6	5	15	0.08
HOMOCYSDEGR-PWY	"CYSTEINE-SYN; HOMOCYSTEINE-DEG;"	"L-cysteine biosynthesis III (from L-homocysteine);"	4.4.1.1	2	1	1	0.01
PWY-5272	"Abscisic-Acid-Degradation; Interconversion;"	"abscisic acid degradation by glucosylation;"	2.4.1.-	1	1	12	0.07
FASYN-ELONG-PWY	"Fatty-acid-biosynthesis;"	"fatty acid elongation -- saturated;"	1.1.1.100+1.3.1.9+2.3.1.41+4.2.1.-	5	4	11	0.06
FERMENTATION-PWY	"Fermentation-to-Acids; Pyruvate-Ethanol-Fermentation;"	"mixed acid fermentation;"	1.1.1.1+1.1.1.28+1.1.1.42+1.2.1.10+2.3.1.54+2.3.1.8+2.3.3.1+2.7.1.40+2.7.2.1+4.2.1.2+4.2.1.3	14	11	40	0.22
PWY-5787	"AROMATIC-COMPOUNDS-BIOSYN;"	"oligomeric urushiol biosynthesis;"	1.10.3.-	1	1	12	0.07
PWY-5934	"Iron-Metabolism;"	"iron reduction and absorption;"	1.16.1.7	1	1	1	0.01
PWY-5538	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate VI;"	6.2.1.5	2	1	2	0.01
SORBDEG-PWY	"SUGAR-ALCOHOLS-DEG;"	"D-sorbitol degradation II;"	1.1.1.140	1	1	1	0.01
GLUTORN-PWY	"L-Ornithine-Biosynthesis;"	"L-ornithine biosynthesis I;"	1.2.1.38+2.3.1.1+2.6.1.11+2.7.2.8+3.5.1.16	5	5	15	0.08
UBISYN-PWY	"Super-Pathways; Ubiquinone-Biosynthesis;"	"superpathway of ubiquinol-8 biosynthesis (prokaryotic);"	1.14.14.-+2.1.1.-+2.5.1.39	5	3	28	0.15
PWY-6396	"Butanediol-Biosynthesis; Super-Pathways;"	"superpathway of 2,3-butanediol biosynthesis;"	1.1.1.304+2.2.1.6+4.1.1.5	6	3	11	0.06
PWY-6477	"GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;"	"gibberellin inactivation II (methylation);"	2.1.1.-	1	1	26	0.14
PWY-6268	"Cobamide-Salvage;"	"adenosylcobalamin salvage from cobalamin;"	2.5.1.17	1	1	2	0.01
SAM-PWY	"Cofactor-Biosynthesis;"	"S-adenosyl-L-methionine biosynthesis;"	2.5.1.6	1	1	5	0.03
PWY0-1300	"Sugars-And-Polysaccharides-Degradation;"	"2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation;"	3.1.1.-	2	1	2	0.01
PWY3O-19	"Ubiquinone-Biosynthesis;"	"ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);"	1.14.13.-+2.1.1.-+2.5.1.39	5	3	32	0.18
PWY1A0-6325	"Antibiotic-Biosynthesis;"	"actinorhodin biosynthesis;"	1.1.1.-+1.3.1.-+2.3.1.-+4.2.1.-	5	4	41	0.23
PWY-5958	"ALKALOIDS-SYN;"	"acridone alkaloid biosynthesis;"	4.1.3.27+6.2.1.-	4	2	8	0.04
RUMP-PWY	"Energy-Metabolism; Formaldehyde-Oxidation;"	"formaldehyde oxidation I;"	1.1.1.49+3.1.1.31+5.3.1.9	6	3	15	0.08
PWY-5160	"ANTHOCYANIN-SYN;"	"rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside);"	2.4.1.-	1	1	12	0.07
GLUCUROCAT-PWY	"D-Glucuronate-Degradation; Super-Pathways;"	"superpathway of &beta;-D-glucuronosides degradation;"	1.1.1.57+2.7.1.45+4.2.1.8	5	3	5	0.03
PWY-5203	"TRITERPENOID-SYN;"	"soybean saponin I biosynthesis;"	1.14.13.-+5.4.99.-	3	2	10	0.05
PWY66-21	"Ethanol-Degradation;"	"ethanol degradation II;"	1.1.1.1+1.2.1.3+6.2.1.1	3	3	12	0.07
PWY-3542	"Choline-Biosynthesis;"	"choline biosynthesis II;"	2.1.1.-	1	1	26	0.14
DENOVOPURINE2-PWY	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis II;"	1.1.1.205+1.17.4.1+2.1.2.-+2.1.2.3+2.4.2.14+2.7.4.3+2.7.4.6+3.5.4.10+3.6.3.14+4.3.2.2+6.3.2.6+6.3.3.1+6.3.4.13+6.3.4.18+6.3.4.4+6.3.5.2+6.3.5.3	21	17	83	0.46
DETOX1-PWY	"REACTIVE-OXYGEN-SPECIES-DEGRADATION;"	"superoxide radicals degradation;"	1.11.1.6	2	1	3	0.02
TREDEGLOW-PWY	"Trehalose-Degradation;"	"trehalose degradation I (low osmolarity);"	2.7.1.2	2	1	2	0.01
PWY0-1275	"Lipoate-Biosynthesis;"	"lipoate biosynthesis and incorporation II;"	2.8.1.8	1	1	4	0.02
PWY-181	"Photosynthesis;"	"photorespiration;"	1.1.3.15+2.1.2.1+2.7.1.31+3.1.3.18	8	4	5	0.03
PWY-5111	""	""	2.5.1.55+2.7.7.38	3	2	4	0.02
PWY-5808	"TERPENOPHENOLICS-SYN;"	"hyperforin and adhyperforin biosynthesis;"	2.5.1.-	2	1	6	0.03
PWY0-1314	"Sugars-And-Polysaccharides-Degradation;"	"fructose degradation;"	2.7.1.56	1	1	2	0.01
